pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
0,36214.9,0,8.79326e-20,-1.47017e-19,8.4e-17
0,36214.9,0,8.79326e-20,-1.47017e-19,8.4e-17
0,36214.9,0,8.79326e-20,-1.47017e-19,8.4e-17
1.26085e-27,36214.9,1.70774,8.79326e-20,-1.47017e-19,8.4e-17
3.46446e-27,36214.9,4.69238,8.79326e-20,-1.47017e-19,8.4e-17
5.09882e-27,36214.9,6.90601,8.79326e-20,-1.47017e-19,8.4e-17
6.58565e-27,36214.9,8.91982,8.79326e-20,-1.47017e-19,8.4e-17
7.69275e-27,36214.9,10.4193,8.79326e-20,-1.47017e-19,8.4e-17
1.11626e-26,36214.9,15.119,8.79326e-20,-1.47017e-19,8.4e-17
1.24804e-26,36214.9,16.9039,8.79326e-20,-1.47017e-19,8.4e-17
1.42246e-26,36214.9,19.2663,8.79326e-20,-1.47017e-19,8.4e-17
1.6996e-26,36214.9,23.0199,8.79326e-20,-1.47017e-19,8.4e-17
1.83958e-26,36214.9,24.9159,8.79326e-20,-1.47017e-19,8.4e-17
2.01509e-26,36214.9,27.293,8.79326e-20,-1.47017e-19,8.4e-17
2.19096e-26,36214.9,29.6751,8.79326e-20,-1.47017e-19,8.4e-17
2.3902e-26,36214.9,32.3736,8.79326e-20,-1.47017e-19,8.4e-17
2.50681e-26,36214.9,33.9531,8.79326e-20,-1.47017e-19,8.4e-17
2.7717e-26,36214.9,37.5407,8.79326e-20,-1.47017e-19,8.4e-17
2.87339e-26,36214.9,38.9181,8.79326e-20,-1.47017e-19,8.4e-17
2.99511e-26,36214.9,40.5667,8.79326e-20,-1.47017e-19,8.4e-17
3.22863e-26,36214.9,43.7296,8.79326e-20,-1.47017e-19,8.4e-17
3.3191e-26,36214.9,44.955,8.79326e-20,-1.47017e-19,8.4e-17
3.40545e-26,36214.9,46.1245,8.79326e-20,-1.47017e-19,8.4e-17
3.56902e-26,36214.9,48.3399,8.79326e-20,-1.47017e-19,8.4e-17
3.6968e-26,36214.9,50.0707,8.79326e-20,-1.47017e-19,8.4e-17
3.85021e-26,36214.9,52.1484,8.79326e-20,-1.47017e-19,8.4e-17
3.85501e-26,36214.9,52.2135,8.79326e-20,-1.47017e-19,8.4e-17
3.99305e-26,36214.9,54.0831,8.79326e-20,-1.47017e-19,8.4e-17
4.10423e-26,36214.9,55.5891,8.79326e-20,-1.47017e-19,8.4e-17
4.19625e-26,36214.9,56.8354,8.79326e-20,-1.47017e-19,8.4e-17
4.25661e-26,36214.9,57.6529,8.79326e-20,-1.47017e-19,8.4e-17
4.47712e-26,36214.9,60.6396,8.79326e-20,-1.47017e-19,8.4e-17
4.6574e-26,36214.9,63.0814,8.79326e-20,-1.47017e-19,8.4e-17
4.84843e-26,36214.9,65.6687,8.79326e-20,-1.47017e-19,8.4e-17
5.04973e-26,36214.9,68.3951,8.79326e-20,-1.47017e-19,8.4e-17
5.06594e-26,36214.9,68.6148,8.79326e-20,-1.47017e-19,8.4e-17
5.07836e-26,36214.9,68.783,8.79326e-20,-1.47017e-19,8.4e-17
5.19888e-26,36214.9,70.4153,8.79326e-20,-1.47017e-19,8.4e-17
5.43018e-26,36214.9,73.5482,8.79326e-20,-1.47017e-19,8.4e-17
5.63628e-26,36214.9,76.3396,8.79326e-20,-1.47017e-19,8.4e-17
5.75425e-26,36214.9,77.9375,8.79326e-20,-1.47017e-19,8.4e-17
5.94311e-26,36214.9,80.4954,8.79326e-20,-1.47017e-19,8.4e-17
6.03759e-26,36214.9,81.7751,8.79326e-20,-1.47017e-19,8.4e-17
6.13597e-26,36214.9,83.1075,8.79326e-20,-1.47017e-19,8.4e-17
6.37667e-26,36214.9,86.3676,8.79326e-20,-1.47017e-19,8.4e-17
6.54215e-26,36214.9,88.609,8.79326e-20,-1.47017e-19,8.4e-17
6.71502e-26,36214.9,90.9504,8.79326e-20,-1.47017e-19,8.4e-17
6.81514e-26,36214.9,92.3065,8.79326e-20,-1.47017e-19,8.4e-17
6.93103e-26,36214.9,93.8761,8.79326e-20,-1.47017e-19,8.4e-17
7.07075e-26,36214.9,95.7685,8.79326e-20,-1.47017e-19,8.4e-17
7.08274e-26,36214.9,95.931,8.79326e-20,-1.47017e-19,8.4e-17
7.39204e-26,36214.9,100.12,8.79326e-20,-1.47017e-19,8.4e-17
7.48425e-26,36214.9,101.369,8.79326e-20,-1.47017e-19,8.4e-17
7.66547e-26,36214.9,103.824,8.79326e-20,-1.47017e-19,8.4e-17
7.78337e-26,36214.9,105.42,8.79326e-20,-1.47017e-19,8.4e-17
7.95037e-26,36214.9,107.682,8.79326e-20,-1.47017e-19,8.4e-17
8.05096e-26,36214.9,109.045,8.79326e-20,-1.47017e-19,8.4e-17
8.07775e-26,36214.9,109.408,8.79326e-20,-1.47017e-19,8.4e-17
8.27227e-26,36214.9,112.042,8.79326e-20,-1.47017e-19,8.4e-17
8.48258e-26,36214.9,114.891,8.79326e-20,-1.47017e-19,8.4e-17
8.65653e-26,36214.9,117.247,8.79326e-20,-1.47017e-19,8.4e-17
8.84693e-26,36214.9,119.826,8.79326e-20,-1.47017e-19,8.4e-17
8.96444e-26,36214.9,121.417,8.79326e-20,-1.47017e-19,8.4e-17
9.14731e-26,36214.9,123.894,8.79326e-20,-1.47017e-19,8.4e-17
9.15885e-26,36214.9,124.05,8.79326e-20,-1.47017e-19,8.4e-17
9.24008e-26,36214.9,125.151,8.79326e-20,-1.47017e-19,8.4e-17
9.2617e-26,36214.9,125.443,8.79326e-20,-1.47017e-19,8.4e-17
9.26124e-26,36214.9,125.437,8.79326e-20,-1.47017e-19,8.4e-17
9.61719e-26,36214.9,130.258,8.79326e-20,-1.47017e-19,8.4e-17
9.85924e-26,36214.9,133.537,8.79326e-20,-1.47017e-19,8.4e-17
9.92382e-26,36214.9,134.411,8.79326e-20,-1.47017e-19,8.4e-17
1.01667e-25,36214.9,137.701,8.79326e-20,-1.47017e-19,8.4e-17
1.02249e-25,36214.9,138.49,8.79326e-20,-1.47017e-19,8.4e-17
1.0357e-25,36214.9,140.278,8.79326e-20,-1.47017e-19,8.4e-17
1.05581e-25,36214.9,143.003,8.79326e-20,-1.47017e-19,8.4e-17
1.06753e-25,36214.9,144.59,8.79326e-20,-1.47017e-19,8.4e-17
1.08174e-25,36214.9,146.514,8.79326e-20,-1.47017e-19,8.4e-17
1.0851e-25,36214.9,146.969,8.79326e-20,-1.47017e-19,8.4e-17
1.09874e-25,36214.9,148.817,8.79326e-20,-1.47017e-19,8.4e-17
1.09971e-25,36214.9,148.948,8.79326e-20,-1.47017e-19,8.4e-17
1.12198e-25,36214.9,151.965,8.79326e-20,-1.47017e-19,8.4e-17
1.13697e-25,36214.9,153.994,8.79326e-20,-1.47017e-19,8.4e-17
1.1559e-25,36214.9,156.558,8.79326e-20,-1.47017e-19,8.4e-17
1.1734e-25,36214.9,158.929,8.79326e-20,-1.47017e-19,8.4e-17
1.1883e-25,36214.9,160.947,8.79326e-20,-1.47017e-19,8.4e-17
1.19931e-25,36214.9,162.438,8.79326e-20,-1.47017e-19,8.4e-17
1.21592e-25,36214.9,164.688,8.79326e-20,-1.47017e-19,8.4e-17
1.24883e-25,36214.9,169.145,8.79326e-20,-1.47017e-19,8.4e-17
1.25498e-25,36214.9,169.978,8.79326e-20,-1.47017e-19,8.4e-17
1.27471e-25,36214.9,172.651,8.79326e-20,-1.47017e-19,8.4e-17
1.28895e-25,36214.9,174.58,8.79326e-20,-1.47017e-19,8.4e-17
1.30978e-25,36214.9,177.401,8.79326e-20,-1.47017e-19,8.4e-17
1.31145e-25,36214.9,177.627,8.79326e-20,-1.47017e-19,8.4e-17
1.32013e-25,36214.9,178.803,8.79326e-20,-1.47017e-19,8.4e-17
1.33922e-25,36214.9,181.388,8.79326e-20,-1.47017e-19,8.4e-17
1.35933e-25,36214.9,184.111,8.79326e-20,-1.47017e-19,8.4e-17
1.36853e-25,36214.9,185.358,8.79326e-20,-1.47017e-19,8.4e-17
1.37538e-25,36214.9,186.286,8.79326e-20,-1.47017e-19,8.4e-17
1.38455e-25,36214.9,187.528,8.79326e-20,-1.47017e-19,8.4e-17
1.38679e-25,36214.9,187.831,8.79326e-20,-1.47017e-19,8.4e-17
1.3928e-25,36214.9,188.645,8.79326e-20,-1.47017e-19,8.4e-17
1.4142e-25,36214.9,191.544,8.79326e-20,-1.47017e-19,8.4e-17
1.43517e-25,36214.9,194.383,8.79326e-20,-1.47017e-19,8.4e-17
1.45373e-25,36214.9,196.898,8.79326e-20,-1.47017e-19,8.4e-17
1.46024e-25,36214.9,197.779,8.79326e-20,-1.47017e-19,8.4e-17
1.47139e-25,36214.9,199.29,8.79326e-20,-1.47017e-19,8.4e-17
1.47713e-25,36214.9,200.067,8.79326e-20,-1.47017e-19,8.4e-17
1.50096e-25,36214.9,203.295,8.79326e-20,-1.47017e-19,8.4e-17
1.52619e-25,36214.9,206.712,8.79326e-20,-1.47017e-19,8.4e-17
1.54491e-25,36214.9,209.247,8.79326e-20,-1.47017e-19,8.4e-17
1.55453e-25,36214.9,210.551,8.79326e-20,-1.47017e-19,8.4e-17
1.55862e-25,36214.9,211.104,8.79326e-20,-1.47017e-19,8.4e-17
1.57416e-25,36214.9,213.209,8.79326e-20,-1.47017e-19,8.4e-17
1.59098e-25,36214.9,215.487,8.79326e-20,-1.47017e-19,8.4e-17
1.60348e-25,36214.9,217.181,8.79326e-20,-1.47017e-19,8.4e-17
1.61233e-25,36214.9,218.38,8.79326e-20,-1.47017e-19,8.4e-17
1.62359e-25,36214.9,219.904,8.79326e-20,-1.47017e-19,8.4e-17
1.64606e-25,36214.9,222.948,8.79326e-20,-1.47017e-19,8.4e-17
1.66124e-25,36214.9,225.004,8.79326e-20,-1.47017e-19,8.4e-17
1.66567e-25,36214.9,225.604,8.79326e-20,-1.47017e-19,8.4e-17
1.6735e-25,36214.9,226.664,8.79326e-20,-1.47017e-19,8.4e-17
1.69378e-25,36214.9,229.411,8.79326e-20,-1.47017e-19,8.4e-17
1.70895e-25,36214.9,231.466,8.79326e-20,-1.47017e-19,8.4e-17
1.71251e-25,36214.9,231.948,8.79326e-20,-1.47017e-19,8.4e-17
1.74705e-25,36214.9,236.626,8.79326e-20,-1.47017e-19,8.4e-17
1.76478e-25,36214.9,239.028,8.79326e-20,-1.47017e-19,8.4e-17
1.78111e-25,36214.9,241.239,8.79326e-20,-1.47017e-19,8.4e-17
