pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
0,36214.9,0,-4.93152e-20,-1.00951e-19,8.4e-17
0,36214.9,0,-4.93152e-20,-1.00951e-19,8.4e-17
0,36214.9,0,-4.93152e-20,-1.00951e-19,8.4e-17
1.57757e-24,36214.9,2136.71,-4.93152e-20,-1.00951e-19,8.4e-17
1.51111e-23,36214.9,20467,-4.93152e-20,-1.00951e-19,8.4e-17
1.64223e-23,36214.9,22242.9,-4.93152e-20,-1.00951e-19,8.4e-17
1.74851e-23,36214.9,23682.3,-4.93152e-20,-1.00951e-19,8.4e-17
1.80882e-23,36214.9,24499.2,-4.93152e-20,-1.00951e-19,8.4e-17
1.89372e-23,36214.9,25649.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.20606e-23,36214.9,29879.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.5131e-23,36214.9,34038.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.6647e-23,36214.9,36091.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.64778e-23,36214.9,35862.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.74384e-23,36214.9,37163.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.73881e-23,36214.9,37095.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.63981e-23,36214.9,35754.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70036e-23,36214.9,36574.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.74006e-23,36214.9,37112.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.75924e-23,36214.9,37372,-4.93152e-20,-1.00951e-19,8.4e-17
2.80431e-23,36214.9,37982.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.87334e-23,36214.9,38917.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.77064e-23,36214.9,37526.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.77318e-23,36214.9,37560.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.68898e-23,36214.9,36420.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70217e-23,36214.9,36599,-4.93152e-20,-1.00951e-19,8.4e-17
2.74173e-23,36214.9,37134.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.76071e-23,36214.9,37392,-4.93152e-20,-1.00951e-19,8.4e-17
2.77549e-23,36214.9,37592.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.85623e-23,36214.9,38685.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.81748e-23,36214.9,38160.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.78618e-23,36214.9,37736.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.82293e-23,36214.9,38234.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.80972e-23,36214.9,38055.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.74969e-23,36214.9,37242.8,-4.93152e-20,-1.00951e-19,8.4e-17
